Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
338325,The High Crusade,Poul Anderson,"Anderson, Poul",,"=""0743475283""","=""9780743475280""",3,3.88,I Books,Paperback,192,2003,1960,2016/05/01,2016/05/01,"america, sf","america (#48), sf (#7)",read,"Straight out of Golden Age SF:<br/><br/><blockquote><br/>Lo! It was a miracle! Down through the sky, seeming to swell monstrously with the speed of its descent, came a ship all of metal.<br/></blockquote><br/><br/>A spaceship lands in Britain in 1345 right in front of Sir Roger and his knights. The aliens are invaders as their blasters make clear, but they don't intimidate the British, who think they're either being attacked by a French trick or demons. They quickly kill all invaders and leave earth on their space ship, hoping to use it to attack the French, and then to liberate the Holy Land with its power, but unfortunately they land on the nearest home planet of the aliens. Most of the story is about how the British knights use cunning and brute force to take over the whole planet, after which they go on to take over most of the alien empire.<br/><br/>And because it is Golden Age SF, everything is way too easy - this particular intergalactic empire is inept at pretty much everything including hand-to-hand combat, freed alien planets immediately and easily join the rebellion instead of asking for food, death is comic relief, and of course the book is never taking itself too seriously, as it should be:<br/><br/><blockquote><br/>""He does not speak any known language, my lord,"" I said.<br/>""Nonsense! All demons know Latin, at least. He's just being stubborn.""<br/></blockquote><br/><br/>If you enjoy gallant enormous practically invincible knights romp through space while decapitating aliens and praising the Lord, go for it!",,,,,,0,,,,,
418,Been Down So Long it Looks Like Up to Me,Richard Fariña,"Fariña, Richard",Thomas Pynchon,"=""0140189300""","=""9780140189308""",0,3.83,Penguin Classics,Paperback,352,1996,1966,,2016/04/30,to-read,to-read (#1306),to-read,,,,,,,0,,,,,
49423,Out of Sheer Rage: Wrestling With D.H. Lawrence,Geoff Dyer,"Dyer, Geoff",,"=""0865475407""","=""9780865475403""",0,4.03,North Point Press,Paperback,256,1999,1997,,2016/04/30,to-read,to-read (#1305),to-read,,,,,,,0,,,,,
10515,Five Moral Pieces,Umberto Eco,"Eco, Umberto",Alastair McEwen,"=""0156013258""","=""9780156013253""",3,3.87,Mariner Books,Paperback,128,2002,1997,2016/04/29,2016/04/30,"essays, essay, italy, non-fiction","essays (#16), essay (#4), italy (#7), non-fiction (#102)",read,"Very short collection of five essays around morality - two stand out in particular. The first essay ""Reflections on War"" tries to update Clausewitz's teachings with modern warfare. Eco ""updates"" the model of information flow in wartime, since nowadays it's not two big sources of information anymore. Instead, Eco models this flow as a neural network, where each interested party is a node in a network, with its own interests and impact on the entire network (machine learning says hi). This is a very interesting model - I can't even name all parties who have boots on the ground in Syria, let alone all the international parties who have vested interests. <br/><br/>This structure makes the patterns, shifts, outcomes of the conflict hard to impossible to predict, which is very different from what Clausewitz taught. It's especially fun when you've had some experience with Artificial Neural Networks, which have the same underlying model, but that one is used for training or pattern matching.<br/><br/>The last essay on internationalism and multi-culturalism is great, and I can really feel what a loss Eco's death meant for modern European thought in times of a profound shift to the right:<br/><br/><blockquote><br/>The most dangerous form of intolerance is precisely the kind that arises in the absence of any doctrine, fueled by elemental drives. This is why it cannot be criticized or curbed by rational argument. The theoretical foundations of <i>Mein Kampf</i> can be confuted by a battery of fairly simple arguments, but if the ideas proposed in it have survived and continue to survive all objections, it is because they are founded on uncontrolled intolerance, which is immune to all criticism.<br/></blockquote><br/><br/>The other three essays are less interesting: how to define fascism, and trying to define what all fascist movements have in common (""Ur-Fascism"") - how the Italian press has developed, with some interesting reflections that fit to all all media (""On The Press"") - how morality can develop without a religion (""When the Other Appears on the Scene"").",,,,,,0,,,,,
369932,Hackers,Jack Dann,"Dann, Jack","Gardner R. Dozois, William Gibson, Tom Maddox, Greg Egan, Pat Cadigan, Bruce Sterling, Robert Silverberg, Alexander Jablokov, Michael Swanwick, Candas Jane Dorsey, Daniel Marcus, Paul McAuley, Neal Stephenson, Greg Bear","=""0441003753""","=""9780441003754""",4,3.68,Ace,Paperback,256,1996,1996,2016/05/02,2016/04/28,"sf, short-stories","sf (#8), short-stories (#27)",read,"Remember when the Internet wasn't a scrutinized, surveillance-laden, SEO-borked content-marketed network of walled garden with more echo chambers than common sense? Remember when the Internet had <i>promise</i>?<br/><br/>From the time when connecting to the Internet meant that you had to listen to the 56k modem make its best impression of a rat being slowly crushed to death, back when computers where large uniform gray towers and still had Turbo buttons, back when the collective unconscious thought that going online meant navigating a 3D animation of towers, back from the 90s comes this collection of early to mid cyberpunk stories about hackers. There are some hackers in the ""new"" sense (someone who illegally accesses computers or databases), and some hackers in the ""original"" sense (someone who creatively bends any system to his/her own advantage).<br/><br/>Recommendations:<br/>- The Pardoner's Tale, in which a hacker freely travels an earth subjugated under alien invaders<br/>- (Learning about) Machine Sex, sex and power in an age where simulated sex is possible<br/>- Spew, a prophetic tale about highly targeted advertising<br/>- Tangents, in which a genius boy learns how to make contact with four-dimensional beings (lots of fun Flatland links)<br/><br/>Some famous names here like William Gibson, Neal Stephenson, Greg Bear and Greg Egan, I've never read anything before by the others. I have to get more from Candas Jane Dorsey...<br/>",,,,,,0,,,,,
281062,God's Chinese Son: The Taiping Heavenly Kingdom of Hong Xiuquan,Jonathan D. Spence,"Spence, Jonathan D.",David Lindroth,"=""0393315568""","=""9780393315561""",0,3.90,W. W. Norton & Company,Paperback,432,1996,1996,,2016/04/27,to-read,to-read (#1304),to-read,,,,,,,0,,,,,
26154389,Zero K,Don DeLillo,"DeLillo, Don",,"=""1501135392""","=""9781501135392""",0,3.50,Scribner,Hardcover,288,2016,2016,,2016/04/27,to-read,to-read (#1303),to-read,,,,,,,0,,,,,
8675283,Vanished Kingdoms: The History of Half-Forgotten Europe,Norman Davies,"Davies, Norman",,"=""1846143381""","=""9781846143380""",0,3.82,Allen Lane,Hardcover,789,2011,2011,,2016/04/27,to-read,to-read (#1302),to-read,,,,,,,0,,,,,
21535396,Preparation for the Next Life,Atticus Lish,"Lish, Atticus",,"=""0988518333""","=""9780988518339""",0,3.78,Tyrant Books,Paperback,417,2014,2014,,2016/04/27,to-read,to-read (#1301),to-read,,,,,,,0,,,,,
26245029,Imagine Me Gone,Adam Haslett,"Haslett, Adam",,"=""0316261351""","=""9780316261357""",0,3.92,"Little, Brown and Company",Hardcover,368,2016,2016,,2016/04/27,to-read,to-read (#1300),to-read,,,,,,,0,,,,,
